exclude	exclude_reason	DatasetID	Field_strength	Vendor	Coil	Date	Comment	SubjID	SessID	Strain	Sex	Weight	Age	Comment.1	Induction_time	Bolus_time	Deviation	Shimming_protocol	Shimming_order	Linewidth	Anat_ScanID	Anat_Sequence	Anat_Contrast	Func_ScanID	Func_run	Func_time	Note any deviation from functional protocol (e.g. FOV), or imaging artifacts -Joanes Grandjean Func_deviation	Temperature	Breathing	Heart	Other	Comment.2	tsnr.S1	tsnr.str	MFW	maxFW	Breathing_onset	aromas_CPu_CPu	aromas_MOp_MOp	aromas_S1bf_S1bf	aromas_S1bf_ACA	aromas_S1bf_cat	aromal_CPu_CPu	aromal_MOp_MOp	aromal_S1bf_S1bf	aromal_S1bf_ACA	aromal_S1bf_cat	aromasr_CPu_CPu	aromasr_MOp_MOp	aromasr_S1bf_S1bf	aromasr_S1bf_ACA	aromasr_S1bf_cat	WMCSFs_CPu_CPu	WMCSFs_MOp_MOp	WMCSFs_S1bf_S1bf	WMCSFs_S1bf_ACA	WMCSFs_S1bf_cat	GSRs_CPu_CPu	GSRs_MOp_MOp	GSRs_S1bf_S1bf	GSRs_S1bf_ACA	GSRs_S1bf_cat
		3001	9.4	Bruker	TX 86-mm volume quadrature coil, RX 4-element array cryoprobe	9/29/2021	-	sub-300100	ses-1	Long Evans	Female	318.0	10.4	-	9:42	9:49	-	MAPSHIM	AllShims		2	TurboRARE	T2w	13	1	40	12	35.8/36.1/36.2	96/102/102			-	66.51731169	32.973499785	0.016880580509592676	0.0362429858137942	96.0	0.5135704973388672	0.5306040638931336	0.5719977137839096	0.3186466901157978	Unspecific	0.4923683768291798	0.4745498857337316	0.5341333383550806	0.23282199917666202	Unspecific	0.5135704973388672	0.5306040638931336	0.5719977137839096	0.3186466901157978	Unspecific	0.5366664056309994	0.531633720923444	0.5106444718267588	0.08172616193036662	Specific	0.5433772346283727	0.5328469544629679	0.46492063766600716	-0.032265948356511136	Specific
		3001	9.4	Bruker	TX 86-mm volume quadrature coil, RX 4-element array cryoprobe	9/29/2021	-	sub-300101	ses-1	Long Evans	Female	383.0	10.4	-	11:02	11:09	-	MAPSHIM	AllShims		4	TurboRARE	T2w	7	1	40	12	36.3/36.3/36.3	108/108/118			-	60.409006160000004	32.56770532	0.009806786197846829	0.0259875170171647	108.0	0.46841757690886043	0.33727849029697804	0.32217728414263586	0.024214759443256493	Specific	0.4551320219786386	0.2830288775278465	0.27261518772393895	-0.042004026627792936	Specific	0.46841757690886043	0.33727849029697804	0.32217728414263586	0.024214759443256493	Specific	0.487562839006183	0.4589684845701444	0.4679558847111365	0.02589900574290528	Specific	0.48073188259348476	0.4833694830803051	0.45091604858065953	-0.0810192237019109	Specific
		3001	9.4	Bruker	TX 86-mm volume quadrature coil, RX 4-element array cryoprobe	9/29/2021	-	sub-300102	ses-1	Long Evans	Female	279.0	2.9	-	13:15	13:22	-	MAPSHIM	AllShims		5	TurboRARE	T2w	11	1	40	12	36.9/37.1/37.2	66/71/74			Performed 2 functional runs (at T40 and T58.5) because breathing rate, despite stable, was lower than expected at the beginning of functional acquisition, even though animal preparation and timings were strictly the same for all animals. So it was just to try to make sure there would be enough data to use from these animals.	68.55549818	34.360133605	0.009282812983587976	0.0224606383556593	66.0	0.46442150549385913	0.6628763325340697	0.48212249536736573	-0.14337678977987223	Specific	0.45147651052394466	0.6131532958356801	0.4479341036047942	-0.13769168833855264	Specific	0.46442150549385913	0.6628763325340697	0.48212249536736573	-0.14337678977987223	Specific	0.44135829625579986	0.6587949989795617	0.4603608289120769	-0.007240944457001369	Specific	0.4589635721050843	0.6510762277822245	0.38669898733236174	-0.1068954266684222	Specific
		3001	9.4	Bruker	TX 86-mm volume quadrature coil, RX 4-element array cryoprobe	9/29/2021	-	sub-300103	ses-1	Long Evans	Female	337.0	2.9	-	14:48	14:56	-	MAPSHIM	AllShims		4	TurboRARE	T2w	9	1	40	12	36.9/36.8/36.8	64/69/75			-	68.818274515	30.986454175	0.008569411860035936	0.0252739903712316	64.0	0.2813422072009675	0.3586116208707195	0.302575334814065	-0.22044831795838343	Specific	0.25346629830938394	0.35405997822466306	0.3069623114076123	-0.1581170718673617	Specific	0.2813422072009675	0.3586116208707195	0.302575334814065	-0.22044831795838343	Specific	0.2502232819575442	0.4757594769565318	0.28850899816938813	-0.09551818806190415	Specific	0.24922107434133794	0.4622360517392669	0.22686454600879583	-0.194948860614101	Specific
		3001	9.4	Bruker	TX 86-mm volume quadrature coil, RX 4-element array cryoprobe	9/29/2021	-	sub-300104	ses-1	Long Evans	Female	287.0	2.9	-	16:04	16:12	-	MAPSHIM	AllShims		9	TurboRARE	T2w	12	1	40	13	36.6/36.6/36.6	50/58/60			Performed 2 functional runs (at T40 and T60) because breathing rate, despite stable, was lower than expected at the beginning of functional acquisition, even though animal preparation and timings were strictly the same for all animals. So it was just to try to make sure there would be enough data to use from these animals.	59.622161795000004	28.11446086	0.01064867210732638	0.0247465110785818	50.0	0.22933954584670174	0.20848910408197985	0.25946971876531844	0.23016776756698926	Unspecific	0.19769037079079155	0.19548764722270953	0.23969737116689546	0.2212563894876626	Unspecific	0.22933954584670174	0.20848910408197985	0.25946971876531844	0.23016776756698926	Unspecific	0.11803769150457966	0.12921903489799214	0.25328688999405474	0.006707711176182395	Specific	0.12129725471744184	0.10069086086156495	0.2197015684879371	-0.10383843254849524	Specific
		3001	9.4	Bruker	TX 86-mm volume quadrature coil, RX 4-element array cryoprobe	9/30/2021	-	sub-300105	ses-1	Long Evans	Female	311.0	3.0	-	9:15	9:23	-	MAPSHIM	AllShims		4	TurboRARE	T2w	6	1	40	12	36.2/36.4/36.5	87/94/97			-	46.177062434999996	24.98197912	0.013003412834364412	0.0293396060628939	87.0	0.28884824427458605	0.4037985881404817	0.41625216343654536	-0.4757917880627506	Specific	0.3147917499331292	0.39632014945551997	0.4252616090115393	-0.3285961833480099	Specific	0.28884824427458605	0.4037985881404817	0.41625216343654536	-0.4757917880627506	Specific	0.27627454135130564	0.4327321791044472	0.46614858146922095	-0.32390002004978197	Specific	0.26653776321013645	0.4482209468090843	0.4465326483049887	-0.43986423209788844	Specific
		3001	9.4	Bruker	TX 86-mm volume quadrature coil, RX 4-element array cryoprobe	9/30/2021	-	sub-300106	ses-1	Long Evans	Female	407.0	4.5	-	10:31	10:38	-	MAPSHIM	AllShims		3	TurboRARE	T2w	11	1	40	12	37.0/36.9/36.9	112/120/124			-	44.034850605	27.030551565	0.009482012940405916	0.0264672636251739	112.0	0.17077855695494878	0.45116429910137007	0.4948141164162131	0.22180114328939796	Unspecific	0.19445397272818335	0.37496723163372075	0.4736883459404276	0.19350539655611398	Unspecific	0.17077855695494878	0.45116429910137007	0.4948141164162131	0.22180114328939796	Unspecific	0.1967790518814826	0.4760912030337648	0.5070332735835078	0.06869678264378289	Specific	0.1935703547741707	0.5057278381693565	0.4548184218656922	-0.08870364975081442	Specific
		3001	9.4	Bruker	TX 86-mm volume quadrature coil, RX 4-element array cryoprobe	9/30/2021	-	sub-300107	ses-1	Long Evans	Female	350.0	4.5	-	12:50	12:58	-	MAPSHIM	AllShims		6	TurboRARE	T2w	9	1	40	12	36.7/36.6/36.5	90/99/106			-	66.509446405	37.95979123	0.013295726081426299	0.0324315885744878	90.0	0.3308645112913983	0.4369642212373498	0.36076387054328024	-0.2528545574240088	Specific	0.27919842349923296	0.39568167069572385	0.3554550828618033	-0.18943258262179882	Specific	0.3308645112913983	0.4369642212373498	0.36076387054328024	-0.2528545574240088	Specific	0.32743533065441255	0.5143203299301253	0.603087313762782	-0.04502724303592764	Specific	0.3281351220502761	0.5226929580831337	0.5649306235476224	-0.15712032978359697	Specific
		3001	9.4	Bruker	TX 86-mm volume quadrature coil, RX 4-element array cryoprobe	9/30/2021	-	sub-300108	ses-1	Long Evans	Male	493.0	3.0	-	14:11	14:19	-	MAPSHIM	AllShims		4	TurboRARE	T2w	10	1	40	12	34.9/35.3/35.5	102/105/108			-	66.74000071	32.831902645	0.010703494752833656	0.196472442159554	102.0	0.34910202006075614	0.552239753603399	0.3494954926828416	0.06935524918379266	Specific	0.3948283113809988	0.5013988767429671	0.29781101064609106	0.0631025676877697	Specific	0.3183994310864091	0.49488261314062726	0.30423615726591957	0.04805562593013786	Specific	0.31303485891782	0.49153378784472973	0.3565142040530204	0.037391793356265246	Specific	0.3012957994631314	0.42529087815708494	0.32380010613524896	-0.02953471494088379	Specific
		3001	9.4	Bruker	TX 86-mm volume quadrature coil, RX 4-element array cryoprobe	9/30/2021	-	sub-300109	ses-1	Long Evans	Male	517.0	3.0	-	15:31	15:38	-	MAPSHIM	AllShims		6	TurboRARE	T2w	10	1	40	12	35.7/35.8/36.0	114/97/100			-	55.570138215	29.55142559	0.016922010041230236	0.172507227158835	114.0	0.5100532246313461	0.5523951813748531	0.5189496232321162	-0.06594429279669989	Specific	0.515376977714073	0.5047965141848181	0.43530318715792826	-0.0543695467874061	Specific	0.48796949087745756	0.5122082161845746	0.44399669991445345	0.04181229313973636	Specific	0.482946251547569	0.5582485105305283	0.45480952072212755	-0.06129100935608653	Specific	0.45461578864027846	0.5010389978157276	0.38362547871971486	-0.17516689873360416	Specific
